,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
137,49,CHANDLA,ANURAGI HARPRASAD (GOPI MASTER),Indian National Congress,1177,37397,R D PRAJAPATI,Bharatiya Janata Party,Madhya Pradesh,RAJESH KUMAR PRAJAPATI,Bharatiya Janata Party
138,51,CHHATARPUR,ARCHNA GUDDU SINGH,Bharatiya Janata Party,3495,2217,LALITA YADAV,Bharatiya Janata Party,Madhya Pradesh,ALOK CHATURVEDI (PAJJAN BHAIYA),Indian National Congress
139,126,CHHINDWARA,CHOUDHARY CHANDRABHAN SINGH KUBER SINGH,Bharatiya Janata Party,14547,24778,CHOUDHARY CHANDRABHANSINGH KUBERSINGH,Bharatiya Janata Party,Madhya Pradesh,DEEPAK SAXENA,Indian National Congress
140,61,CHITRAKOOT,SURENDRA SINGH GAHARWAR,Bharatiya Janata Party,10198,10970,PREM SINGH,Indian National Congress,Madhya Pradesh,NEELANSHU CHATURVEDI,Indian National Congress
141,79,CHITRANGI ,SARASWATI SINGH,Indian National Congress,59248,9845,SARASWATI SINGH,Indian National Congress,Madhya Pradesh,AMAR SINGH,Bharatiya Janata Party
142,124,CHOURAI,PT. RAMESH DUBEY,Bharatiya Janata Party,13004,13631,PT. RAMESH DUDEY,Bharatiya Janata Party,Madhya Pradesh,CHOUDHARY SUJEET MER SINGH,Indian National Congress
143,76,CHURHAT,AJAY ARJUN SINGH,Indian National Congress,6402,19356,AJAY ARJUN SINGH,Indian National Congress,Madhya Pradesh,SHARADENDU TIWARI,Bharatiya Janata Party
144,19,DABARA ,KAPTAN SINGH SEHSARI,Bharatiya Janata Party,57446,33278,IMARTI  DEVI,Indian National Congress,Madhya Pradesh,IMARTI DEVI,Indian National Congress
145,55,DAMOH ,JAYANT MALAIYA,Bharatiya Janata Party,798,4953,JAYANT MALAIYA,Bharatiya Janata Party,Madhya Pradesh,RAHUL SINGH,Indian National Congress
146,22,DATIA,BHARTI RAJENDRA,Indian National Congress,2656,12081,DR. NAROTTAM MISHRA,Bharatiya Janata Party,Madhya Pradesh,DR.NAROTTAM MISHRA,Bharatiya Janata Party
147,38,DEORI,TEJI SINGH RAJPOOT,Bharatiya Janata Party,4304,22080,HARSH YADAV,Indian National Congress,Madhya Pradesh,HARSH YADAV,Indian National Congress
148,72,DEOTALAB,SEEMA JAIVEER SINGH SENGAR,Bahujan Samaj Party,1080,3885,GIRISH GAUTAM,Bharatiya Janata Party,Madhya Pradesh,GIRISH GAUTAM,Bharatiya Janata Party
149,203,DEPALPUR ,MANOJ NIRBHAYSINGH PATEL,Bharatiya Janata Party,9044,30197,MANOJ NIRBHAYSINGH PATEL,Bharatiya Janata Party,Madhya Pradesh,VISHAL JAGDISH PATEL,Indian National Congress
150,81,DEVSAR ,BANSHMANI PRASAD VERMA,Indian National Congress,10678,33214,RAJENDRA MESHRAM,Bharatiya Janata Party,Madhya Pradesh,SUBHASH RAM CHARITRA,Bharatiya Janata Party
151,171,DEWAS,THAKUR JAYSINGH,Indian National Congress,27987,50119,TUKOJIRAO PUAR,Bharatiya Janata Party,Madhya Pradesh,GAYATRI RAJE PUAR,Bharatiya Janata Party
152,201,DHAR ,PRABHA BALMUKUNDSINGH GOUTAM,Indian National Congress,5718,11482,NEENA VIKRAM VERMA,Bharatiya Janata Party,Madhya Pradesh,NEENA VIKRAM VERMA,Bharatiya Janata Party
153,200,DHARAMPURI,GOPAL KANNOJ,Bharatiya Janata Party,13972,7573,KALUSINGH THAKUR,Bharatiya Janata Party,Madhya Pradesh,PANCHILAL MEDA,Indian National Congress
154,82,DHOUHANI ,KAMLESH SINGH,Indian National Congress,3793,19001,KUNWAR SINGH TEKAM,Bharatiya Janata Party,Madhya Pradesh,KUNWAR SINGH TEKAM,Bharatiya Janata Party
155,7,DIMANI ,SHIV MANGAL SINGH TOMAR,Bharatiya Janata Party,18477,2106,BALVEER SINGH DANDOTIYA,Bahujan Samaj Party,Madhya Pradesh,GIRRAJ DANDOTIYA,Indian National Congress
156,104,DINDORI ,JAY SINGH MARAVI,Bharatiya Janata Party,32050,6388,OMKAR SINGH MARKAM,Indian National Congress,Madhya Pradesh,OMKAR SINGH MARKAM,Indian National Congress
157,209,DR.AMBEDKAR NAGAR -Mhow ,ANTAR SINGH DARBAR,Indian National Congress,7157,12216,KAILASH VIJAYVARGIYA,Bharatiya Janata Party,Madhya Pradesh,USHA THAKUR,Bharatiya Janata Party
158,121,GADARWARA,GAUTAM SINGH PATEL,Bharatiya Janata Party,15363,25313,GOVIND SINGH PATEL,Bharatiya Janata Party,Madhya Pradesh,SUNEETA PATEL,Indian National Congress
159,197,Gandhwani,SARDARSINGH MEHDA,Bharatiya Janata Party,38831,12326,UMANG SINGHAR,Indian National Congress,Madhya Pradesh,UMANG SINGHAR,Indian National Congress
160,227,GAROTH ,SUBHASH KUMAR SOJATIA,Indian National Congress,2108,25755,RAJESH YADAV DHARMVEER SINGH,Bharatiya Janata Party,Madhya Pradesh,DEVILAL DHAKAD (ADVOCATE),Bharatiya Janata Party
161,215,GHATIYA,AJIT PREMCHAND GUDDU,Bharatiya Janata Party,4628,17369,SATISH MALVIYA,Bharatiya Janata Party,Madhya Pradesh,RAMLAL MALVIYA,Indian National Congress
162,132,GHODADONGRI,GEETA RAMJILAL UIKEY,Bharatiya Janata Party,17927,8084,SAJJAN SINGH UEIKEY,Bharatiya Janata Party,Madhya Pradesh,BRAMHA BHALAVI,Indian National Congress
163,13,GOHAD ,LALSINGH ARYA,Bharatiya Janata Party,23989,19814,LAL SINGH ARYA,Bharatiya Janata Party,Madhya Pradesh,RANVIR JATAV,Indian National Congress
164,118,GOTEGAON,DR. KAILASH JATAV,Bharatiya Janata Party,12583,20171,DR. KAILASH JATAV,Bharatiya Janata Party,Madhya Pradesh,NARMADA PRASAD PRAJAPATI (N.P.),Indian National Congress
165,154,GOVINDPURA,GIRISH SHARMA,Indian National Congress,46359,70644,BABOOLAL GOUR,Bharatiya Janata Party,Madhya Pradesh,KRISHNA GAUR,Bharatiya Janata Party
166,29,GUNA ,CHANDRA PRAKASH AHIRWAR (BANTI),Indian National Congress,33667,45111,PANNALAL SHAKYA,Bharatiya Janata Party,Madhya Pradesh,GOPILAL JATAV,Bharatiya Janata Party
167,59,GUNNOUR,RAJESH KUMAR VERMA,Bharatiya Janata Party,1984,1337,MAHENDRA  SINGH,Bharatiya Janata Party,Madhya Pradesh,SHIVDAYAL BAGRI,Indian National Congress
168,75,GURH,"KAPIDHWAJ SINGH ""BHAIYA""",Samajwadi Party,7828,1382,SUNDAR LAL TIWARI,Indian National Congress,Madhya Pradesh,NAGENDRA SINGH,Bharatiya Janata Party
169,15,GWALIOR,JAI BHAN SINGH PAWAIYA,Bharatiya Janata Party,21044,15561,JAI BHAN SINGH PAWAIYA,Bharatiya Janata Party,Madhya Pradesh,PRADHUMAN SINGH TOMAR,Indian National Congress
170,16,GWALIOR EAST ,SATISH SINGH SIKARWAR,Bharatiya Janata Party,17819,1147,MAYA SINGH (MAMI),Bharatiya Janata Party,Madhya Pradesh,MUNNALAL GOYAL (MUNNA BHAIYA),Indian National Congress
171,14,GWALIOR RURAL,SAHAB SINGH GURJAR,Bahujan Samaj Party,1517,11938,BHARAT SINGH KUSHWAH,Bharatiya Janata Party,Madhya Pradesh,BHARAT SINGH KUSHWAH,Bharatiya Janata Party
172,17,GWALIOR SOUTH,NARAYAN SINGH KUSHWAH,Bharatiya Janata Party,121,16267,NARAYAN SINGH KUSHWAH,Bharatiya Janata Party,Madhya Pradesh,PRAVEEN PATHAK,Indian National Congress
173,135,HARDA  ,DR. RAMKISHORE DOGNE,Indian National Congress,6667,4651,R K DOGNE,Indian National Congress,Madhya Pradesh,KAMAL PATEL,Bharatiya Janata Party
174,176,HARSUD,SUKHRAM SALVE,Indian National Congress,18949,43571,KUVAR VIJAY SHAH,Bharatiya Janata Party,Madhya Pradesh,KUNWAR VIJAY SHAH,Bharatiya Janata Party
175,172,HATPIPLIYA,DEEPAK KAILASH JOSHI,Bharatiya Janata Party,13519,6175,DEEPAK KAILASH  JOSHI,Bharatiya Janata Party,Madhya Pradesh,MANOJ NARAYAN SINGH CHOUDHARY,Indian National Congress
176,57,HATTA ,HARISHANKAR CHOUDHRI,Indian National Congress,19905,2852,UMADEVI-LALCHAND KHATIK,Bharatiya Janata Party,Madhya Pradesh,PURUSOTTAM/RAMKALI TANTUWAY HATTA,Bharatiya Janata Party
177,137,HOSHANGABAD,SARTAJ SINGH,Indian National Congress,15217,49296,DR SITA SHARAN SHARMA,Bharatiya Janata Party,Madhya Pradesh,DR.SITASARAN SHARMA,Bharatiya Janata Party
178,155,HUZUR,NARESH GYANCHANDANI,Indian National Congress,15725,59604,RAMESHWAR SHARMA,Bharatiya Janata Party,Madhya Pradesh,RAMESHWAR SHARMA,Bharatiya Janata Party
179,158,ICHHAWAR,SHAILENDRA PATEL,Indian National Congress,15869,744,SHAILENDRA RAMESH CHANDRA PATEL,Indian National Congress,Madhya Pradesh,KARAN SINGH VERMA,Bharatiya Janata Party
180,204,INDORE-1,SUDARSHAN GUPTA,Bharatiya Janata Party,8163,54176,ARYA SUDARSHAN GUPTA,Bharatiya Janata Party,Madhya Pradesh,SANJAY SHUKLA,Indian National Congress
181,205,INDORE-2,ADVOCATE MOHAN SINGH SENGAR,Indian National Congress,71011,91017,RAMESH MENDOLA,Bharatiya Janata Party,Madhya Pradesh,RAMESH MENDOLA,Bharatiya Janata Party
182,206,INDORE-3,ASHWIN JOSHI,Indian National Congress,5751,13318,MISS USHA THAKUR (DIDI),Bharatiya Janata Party,Madhya Pradesh,AKASH  KAILASH VIJAYVARGIYA,Bharatiya Janata Party
183,207,Indore-4,SURJEET SINGH UJAGAR SINGH CHADDA,Indian National Congress,43090,33823,MALINI LAXMAN SINGH GAUR,Bharatiya Janata Party,Madhya Pradesh,MALINI LAKSHMAN SINGH GAUR,Bharatiya Janata Party
184,208,INDORE-5,SATYANARAYAN PATEL,Indian National Congress,1133,14418,MAHENDRA HARDIA,Bharatiya Janata Party,Madhya Pradesh,MAHENDRA HARDIA,Bharatiya Janata Party
185,99,JABALPUR CANTT,PT. ALOK MISHRA,Indian National Congress,26585,53741,ASHOK ISHWARDAS ROHANI,Bharatiya Janata Party,Madhya Pradesh,ASHOK ISHWARDAS ROHANI,Bharatiya Janata Party
186,97,JABALPUR EAST,ANCHAL SONKER,Bharatiya Janata Party,35136,1155,ANCHAL SONKAR,Bharatiya Janata Party,Madhya Pradesh,LAKHAN GHANGHORIYA,Indian National Congress
187,98,JABALPUR NORTH,SHARAD JAIN,Bharatiya Janata Party,578,33563,SHARAD JAIN ADVOCATE,Bharatiya Janata Party,Madhya Pradesh,VINAY  SAXENA,Indian National Congress
188,100,JABALPUR WEST,"HARENDRAJEET SINGH ""BABBU""",Bharatiya Janata Party,18683,923,TARUN BHANOT,Indian National Congress,Madhya Pradesh,TARUN BHANOT,Indian National Congress
189,56,JABERA ,PRATAP SINGH,Indian National Congress,3485,11896,PRATAP SINGH,Indian National Congress,Madhya Pradesh,DHARMENDRA BHAV SINGH LODHI,Bharatiya Janata Party
190,84,JAISINGHNAGAR,DHAYAN SINGH MARCO,Indian National Congress,17267,13963,PRAMILA SINGH,Bharatiya Janata Party,Madhya Pradesh,JAISINGH MARAVI,Bharatiya Janata Party
191,85,JAITPUR,UMA DHURWEY,Indian National Congress,4216,11206,JAI SINGH MARAVI,Bharatiya Janata Party,Madhya Pradesh,MANISHA SINGH,Bharatiya Janata Party
192,222,JAORA,"K.K. SING , KALUKHEDA",Indian National Congress,511,29851,RAJENDRA PANDEY,Bharatiya Janata Party,Madhya Pradesh,"RAJENDRA PANDEY ""RAJU BHAIYA""",Bharatiya Janata Party
193,44,JATARA,R.R. BANSAL,Mahan Dal,36715,233,AHIRWAR DINESH KUMAR,Indian National Congress,Madhya Pradesh,KHATIK HARISHANKAR,Bharatiya Janata Party
194,4,JAURA,MANEERAM DHAKAD,Bahujan Samaj Party,15173,2498,SUBEDAR SINGH,Bharatiya Janata Party,Madhya Pradesh,BANAVAREELAL SHARMA (JAPTHAP),Indian National Congress
195,230,JAWAD,RAJKUMAR RAMESHCHANDRA  AHIR,Indian National Congress,4271,13651,OM PRAKASH SAKHLECHA,Bharatiya Janata Party,Madhya Pradesh,OM PRAKASH SAKHLECHA,Bharatiya Janata Party
196,193,JHABUA,DR. VIKRANT BHURIYA,Indian National Congress,10437,15858,SHANTILAL BILWAL,Bharatiya Janata Party,Madhya Pradesh,GUMANSINGH DAMOR,Bharatiya Janata Party
197,192,JOBAT ,MADHOSINGH DAWAR,Bharatiya Janata Party,2056,11051,MADHOSINGH DAWAR,Bharatiya Janata Party,Madhya Pradesh,KALAWATI BHURIYA,Indian National Congress
198,122,JUNNARDEO,ASHISH JHANAK LAL THAKUR,Bharatiya Janata Party,22688,20121,NATHAN SHAH KEVRETI,Bharatiya Janata Party,Madhya Pradesh,SUNIL UIKEY,Indian National Congress
199,169,KALAPIPAL,BABULAL VERMA,Bharatiya Janata Party,13699,9573,INDERSINGH PARMAR,Bharatiya Janata Party,Madhya Pradesh,KUNAL CHOUDHARY,Indian National Congress
200,23,KARERA ,RAJKUMAR OMPRAKASH KHATIK,Bharatiya Janata Party,14824,10320,SMT SHAKUNTLA KHATIK,Indian National Congress,Madhya Pradesh,JASMANT JATAVE CHITREE,Indian National Congress
201,184,KASRAWAD,ATMARAM - PATEL,Bharatiya Janata Party,5539,11805,SACHIN SUBHASHCHANDRA YADAV,Indian National Congress,Madhya Pradesh,SACHIN SUBHASHCHANDRA YADAV,Indian National Congress
202,113,KATANGI,K.D. DESHMUKH,Bharatiya Janata Party,11750,19950,K.  D. DESHMUKH,Bharatiya Janata Party,Madhya Pradesh,TAMLAL RAGHUJI SAHARE,Indian National Congress
203,116,KEOLARI,RAJNEESH HARVANSH SINGH,Indian National Congress,6679,4803,RAJNEESH HARBANSH SINGH,Indian National Congress,Madhya Pradesh,RAKESH PAL SINGH,Bharatiya Janata Party
204,177,KHANDWA,KUNDAN MALVIYA,Indian National Congress,19137,34071,DEVENDRA VERMA,Bharatiya Janata Party,Madhya Pradesh,DEVENDRA VERMA,Bharatiya Janata Party
205,47,KHARGAPUR,CHANDA-SURENDRA SINGH GOUR,Indian National Congress,11665,5677,CHANDA - SURENDRA SINGH GAUR,Indian National Congress,Madhya Pradesh,RAHUL SINGH LODHI,Bharatiya Janata Party
206,185,KHARGONE,BALKRISHAN PATIDAR,Bharatiya Janata Party,9512,6825,BALKRISHAN PATIDAR,Bharatiya Janata Party,Madhya Pradesh,RAVI RAMESHCHANDRA JOSHI,Indian National Congress
207,173,KHATEGAON,OM PATEL,Indian National Congress,7772,21717,AASHISH GOVIND SHARMA,Bharatiya Janata Party,Madhya Pradesh,AASHISH GOVIND SHARMA,Bharatiya Janata Party
208,163,KHILCHIPUR,HAJARILAL DANGI,Bharatiya Janata Party,29756,11479,KUNWAR HAJARILAL DANGI,Bharatiya Janata Party,Madhya Pradesh,PRIYAVRAT SINGH,Indian National Congress
209,36,KHURAI ,ARUNODAYA CHOUBEY (ANNU BHAIYA),Indian National Congress,15295,6084,BHOOPENDRA BHAIYA,Bharatiya Janata Party,Madhya Pradesh,BHUPENDRA BHAIYA,Bharatiya Janata Party
210,27,KOLARAS ,MAHENDRA RAMSINGH YADAV,Indian National Congress,720,24953,RAM SINGH YADAV,Indian National Congress,Madhya Pradesh,BIRENDRA RAGHUVANSHI,Bharatiya Janata Party
211,86,KOTAMA ,DILIP KUMAR JAISWAL,Bharatiya Janata Party,11429,1546,MANOJ  KUMAR   AGRAWAL,Indian National Congress,Madhya Pradesh,SUNEEL SARAF,Indian National Congress
212,198,KUKSHI ,VIRENDRA SINGH  BAGHEL,Bharatiya Janata Party,62930,42768,SURENDRASINGH HANI BAGHEL,Indian National Congress,Madhya Pradesh,SURENDRA SINGH  HONEY BAGHEL,Indian National Congress
213,146,KURWAI (SC),SUBHASH BOHAT ADVOCATE,Indian National Congress,16695,4081,VEERSINGH PANWAR,Bharatiya Janata Party,Madhya Pradesh,HARI SINGH SAPRE,Bharatiya Janata Party
214,11,LAHAR ,RASAL SINGH,Bharatiya Janata Party,9073,6273,DR. GOVIND SINGH,Indian National Congress,Madhya Pradesh,DR. GOVIND SINGH,Indian National Congress
215,117,LAKHANADON ,VIJAY KUMAR UIKEY,Bharatiya Janata Party,12276,12781,YOGENDRA SINGH  (BABA),Indian National Congress,Madhya Pradesh,"YOGENDRA SINGH ""BABA""",Indian National Congress
216,109,LANJI ,RAMESH DEELIP BHATERE,Bharatiya Janata Party,18696,31750,HINA LIKHIRAM KAWARE,Indian National Congress,Madhya Pradesh,HINA LIKHIRAM KAWRE,Indian National Congress
217,48,MAHARAJPUR,MANAVENDRA SINGH,Bharatiya Janata Party,14005,15721,MANVENDRA SINGH,Bharatiya Janata Party,Madhya Pradesh,NEERAJ VINOD DIXIT,Indian National Congress
218,183,MAHESHWAR,MEV RAJKUMAR,Independent,35836,4727,MEV RAJKUMAR,Bharatiya Janata Party,Madhya Pradesh,DR. VIJAYLAXMI SADHO,Indian National Congress
219,213,MAHIDPUR,DINESH JAIN BOSS,Independent,15220,20634,BHADURSINGH CHOUHAN,Bharatiya Janata Party,Madhya Pradesh,BAHADURSINGH CHOUHAN,Bharatiya Janata Party
220,65,MAIHAR,SHRIKANT CHATURVEDI,Indian National Congress,2984,6975,NARAYAN PRASAD,Indian National Congress,Madhya Pradesh,NARAYAN TRIPATHI,Bharatiya Janata Party
221,53,MALHARA,LALITA YADAV,Bharatiya Janata Party,15779,1514,AHIR REKHA YADAV,Bharatiya Janata Party,Madhya Pradesh,KUNWAR PRADYUMNA SINGH LODHI (MUNNA BHAIYA),Indian National Congress
222,225,MALHARGARH,PARSHURAM SISODIYA,Indian National Congress,11872,6571,JAGDISH DEWRA,Bharatiya Janata Party,Madhya Pradesh,JAGDISH DEWDA,Bharatiya Janata Party
223,228,MANASA ,UMRAO SINGH SHIVLAL,Indian National Congress,25954,14028,KAILASH CHAWLA,Bharatiya Janata Party,Madhya Pradesh,ANIRUDHA (MADHAV) MAROO,Bharatiya Janata Party
224,199,MANAWAR,RANJNA BAGHEL,Bharatiya Janata Party,39501,1639,RANJANA BAGHEL,Bharatiya Janata Party,Madhya Pradesh,DR. HIRALAL ALAWA,Indian National Congress
225,175,MANDHATA ,KU.NARENDRA SINGH TOMAR,Bharatiya Janata Party,1236,4337,LOKENDRA SINGH TOMAR,Bharatiya Janata Party,Madhya Pradesh,NARAYAN PATEL,Indian National Congress
226,107,MANDLA ,PROF. SANJEEV CHHOTELAL UIKEY,Indian National Congress,12205,3827,SANJEEV  CHHOTE  LAL  UIKEY,Indian National Congress,Madhya Pradesh,DEOSINGH SAIYAM,Bharatiya Janata Party
227,224,MANDSOUR ,NARENDRA NAHATA,Indian National Congress,18370,24295,YASHPAL SINGH SISODIYA,Bharatiya Janata Party,Madhya Pradesh,YASHPAL SINGH SISODIYA,Bharatiya Janata Party
228,73,MANGAWAN,BABITA SAKET,Indian National Congress,18530,275,SHEELA TYAGI,Bahujan Samaj Party,Madhya Pradesh,PANCHU LAL PRAJAPATI,Bharatiya Janata Party
229,90,MANPUR ,GYANVATI SINGH,Indian National Congress,18655,43628,MEENA SINGH,Bharatiya Janata Party,Madhya Pradesh,MEENA SINGH,Bharatiya Janata Party
230,71,MAUGANJ,"SUKHENDRA SINGH ""BANNA""",Indian National Congress,11092,10766,SUKHENDRA SINGH (BANNA),Indian National Congress,Madhya Pradesh,PRADEEP PATEL,Bharatiya Janata Party
231,12,MEHGAON,RAKESH SHUKLA,Bharatiya Janata Party,25814,1273,CHOUDHARY MUKESH SINGH CHATURVEDI,Bharatiya Janata Party,Madhya Pradesh,O.P.S. BHADORIA,Indian National Congress
232,6,MORENA,RUSTAM SINGH,Bharatiya Janata Party,20849,1704,RUSTAM SINGH,Bharatiya Janata Party,Madhya Pradesh,RAGHURAJ SINGH KANSANA,Indian National Congress
233,93,MUDWARA,"MITHLESH JAIN , ADVOCATE",Indian National Congress,16080,47138,SANDIP SHRIPRASAD JAISWAL,Bharatiya Janata Party,Madhya Pradesh,SANDIP SHREE PRASAD JAISWAL,Bharatiya Janata Party
234,129,MULTAI,RAJA PAWAR,Bharatiya Janata Party,17250,31869,CHANDRASHEKHAR DESMUKH,Bharatiya Janata Party,Madhya Pradesh,SUKHDEV PANSE,Indian National Congress
235,34,MUNGAOLI,DR.KRISHNA PAL SINGH (DR.K.P.),Bharatiya Janata Party,2136,20765,MAHENDRA SINGH KALUKHEDA,Indian National Congress,Madhya Pradesh,BRAJENDRA SINGH YADAV,Indian National Congress
236,212,NAGADA - KHACHAROD ,DILIPSINGH SHEKHAWAT,Bharatiya Janata Party,5117,16115,DILIP SINGH SHEKHAWAT,Bharatiya Janata Party,Madhya Pradesh,DILIP GURJAR,Indian National Congress
237,64,NAGOD,YADVENDRA SINGH,Indian National Congress,1234,10064,YADAVENDRA SINGH,Indian National Congress,Madhya Pradesh,NAGENDRA SINGH,Bharatiya Janata Party
238,151,NARELA ,DR. MAHENDRA SINGH CHOUHAN,Indian National Congress,23151,26970,VISHWAS SARANG,Bharatiya Janata Party,Madhya Pradesh,VISHVAS SARANG,Bharatiya Janata Party
239,160,NARSINGHGARH,GIRISH BHANDARI,Indian National Congress,9534,23018,GIRISH BHANDARI,Indian National Congress,Madhya Pradesh,RAJYAVARDHAN SINGH,Bharatiya Janata Party
240,119,NARSINGPUR,LAKHAN SINGH PATEL,Indian National Congress,14903,48481,JALAM SINGH PATEL (MUNNA BHAIYA),Bharatiya Janata Party,Madhya Pradesh,"JALAM SINGH PATEL ""MUNNA BHAIYA""",Bharatiya Janata Party
241,40,NARYAWALI,ADVOCATE SURENDRA CHOUDHARY,Indian National Congress,8900,16046,ENGG PRADEEP LARIYA,Bharatiya Janata Party,Madhya Pradesh,ENG. PRADEEP LARIYA,Bharatiya Janata Party
242,229,NEEMUCH,SATYA NARAYAN,Indian National Congress,14857,21667,DILIP SINGH PARIHAR,Bharatiya Janata Party,Madhya Pradesh,DILIP SINGH PARIHAR,Bharatiya Janata Party
243,179,NEPANAGAR ,MANJU RAJENDRA DADU,Bharatiya Janata Party,1264,22178,RAJENDRA SHYAMLAL  DADU(RAJU BHAIYYA),Bharatiya Janata Party,Madhya Pradesh,SUMITRA DEVI KASDEKAR,Indian National Congress
244,46,NIWARI,MEERA DEEPAK YADAV,Samajwadi Party,8837,27209,ANIL JAIN,Bharatiya Janata Party,Madhya Pradesh,ANIL JAIN,Bharatiya Janata Party
245,106,NIWAS ,RAMPYARE KULASTE,Bharatiya Janata Party,28315,10910,RAMPYARE  KULASTE,Bharatiya Janata Party,Madhya Pradesh,DR ASHOK MARSKOLE,Indian National Congress
246,101,PANAGAR,BHARAT SINGH YADAV,Independent,41733,27954,SUSHEEL KUMAR TIWARI (INDU BHAIYA),Bharatiya Janata Party,Madhya Pradesh,SUSHIL KUMAR TIWARI (INDU BHAIYA),Bharatiya Janata Party
247,178,PANDHANA ,CHHAYA MORE,Indian National Congress,23750,17261,YOGITA NAVALSING BORKER (BHABHI),Bharatiya Janata Party,Madhya Pradesh,RAM DANGORE,Bharatiya Janata Party
248,128,PANDHURNA,TIKARAM KORACHI,Bharatiya Janata Party,21349,1478,JATAN UIKY,Indian National Congress,Madhya Pradesh,NILESH PUSARAM UIKEY,Indian National Congress
249,60,PANNA ,"SHIVJEET SINGH ""BHAIYA RAJA""",Indian National Congress,20708,29036,KUSUM SINGH MAHDELE,Bharatiya Janata Party,Madhya Pradesh,BRIJENDRA PRATAP SINGH,Bharatiya Janata Party
250,189,PANSEMAL (S.T.),DIWANSINGH S/O VITHTHAL PATEL,Bharatiya Janata Party,25222,7382,DIWANSINGH  VITHAL PATEL,Bharatiya Janata Party,Madhya Pradesh,SUSHRI CHANDRABHAGA KIRADE,Indian National Congress
251,127,PARASIYA ,TARACHAND BAWARIA,Bharatiya Janata Party,12734,6862,SOHANLAL VALMIK,Indian National Congress,Madhya Pradesh,SOHANLAL BALMIK,Indian National Congress
252,110,PARASWADA,KANKAR MUNJARE,Samajwadi Party,9608,2849,MADHU BHAGAT,Indian National Congress,Madhya Pradesh,RAM KISHOR (NANO) KAWRE,Bharatiya Janata Party
253,95,PATAN ,NEELESH AWASTHI,Indian National Congress,26712,12736,NEELESH AWASTHI,Indian National Congress,Madhya Pradesh,AJAY VISHNOI,Bharatiya Janata Party
254,54,PATHARIYA ,LAKHAN PATEL,Bharatiya Janata Party,2205,7315,LAKHAN PATEL,Bharatiya Janata Party,Madhya Pradesh,RAMBAI GOVIND SINGH,Bahujan Samaj Party
255,58,PAWAI,PANDIT MUKESH NAYAK,Indian National Congress,23680,11695,PANDIT MUKESH NAYAK,Indian National Congress,Madhya Pradesh,PRAHLAD LODHI,Bharatiya Janata Party
256,195,PETLAWAD,NIRMALA  DILIPSINGH BHURIYA,Bharatiya Janata Party,5000,17016,NIRMALA DILIPSINGH BHURIYA,Bharatiya Janata Party,Madhya Pradesh,MAIDA VALSINGH,Indian National Congress
257,26,PICHHORE,PREETAM LODHI,Bharatiya Janata Party,2675,7113,K.P.SINGH KAKKAJU,Indian National Congress,Madhya Pradesh,K. P. SINGH,Indian National Congress
258,139,PIPARIYA,HARISH TULARAM BEMAN (MEHRA),Indian National Congress,18130,51157,THAKUR DAS NAGWANSHI,Bharatiya Janata Party,Madhya Pradesh,THAKURDAS NAGWANSHI,Bharatiya Janata Party
259,24,POHARI ,KAILASH KUSHWAH,Bahujan Samaj Party,7918,3625,PRAHLAD BHARTI,Bharatiya Janata Party,Madhya Pradesh,SURESH DHAKAD [RATHKHEDA],Indian National Congress
260,45,PRITHVIPUR,DR. SHISHUPAL YADAV,Samajwadi Party,7620,8627,ANITA-SUNIL NAYAK,Bharatiya Janata Party,Madhya Pradesh,BRAJENDRA SINGH RATHORE,Indian National Congress
261,88,PUSPRAJGARH,NARENDRA SINGH MARAVI,Bharatiya Janata Party,21401,35647,PHUNDELAL SINGH MARKO,Indian National Congress,Madhya Pradesh,PHUNDELAL SINGH MARKO,Indian National Congress
262,31,RAGHOGARH,BHUPENDRA  SINGH RAGHUWANSHI,Bharatiya Janata Party,46697,58204,JAIVARDHAN SINGH,Indian National Congress,Madhya Pradesh,JAIVARDHAN SINGH,Indian National Congress
263,62,RAIGAON,KALPANA VERMA,Indian National Congress,17421,4109,USHA CHOUDHARY,Bahujan Samaj Party,Madhya Pradesh,JUGUL KISHOR BAGRI,Bharatiya Janata Party
264,162,RAJGARH ,AMAR SINGH YADAV,Bharatiya Janata Party,31183,51211,AMARSINGH YADAV,Bharatiya Janata Party,Madhya Pradesh,BAPUSINGH TANWAR,Indian National Congress
265,50,RAJNAGAR,ARVIND PATERIYA,Bharatiya Janata Party,732,8607,KUN. VIKRAM SINGH URF. NATI RAJA,Indian National Congress,Madhya Pradesh,VIKRAM SINGH (NATI RAJA),Indian National Congress
266,188,RAJPUR (S.T.),ANTERSINGH DEVISINGH PATEL,Bharatiya Janata Party,932,11196,BALA BACHCHAN,Indian National Congress,Madhya Pradesh,BALA BACHCHAN,Indian National Congress
267,67,RAMPUR BAGHELAN,RAMLAKHAN SINGH PATEL,Bahujan Samaj Party,15687,24255,HARSH SINGH,Bharatiya Janata Party,Madhya Pradesh,VIKRAM SINGH(VIKKI),Bharatiya Janata Party
268,220,RATLAM CITY,PREMLATA DAVE,Indian National Congress,43435,40305,CHETANYA KUMAR KASHYAP,Bharatiya Janata Party,Madhya Pradesh,CHETANYA  KASYAP,Bharatiya Janata Party
